repeat,episode,step,distance_m,distance_from_start_m,speed_kmh,heading_angle_rad,track_position,target_track_position,racing_line_error,minimum_track_sensor_m,raw_steer,steering_delta,raw_longitudinal,control_accel,control_brake,control_gear,reward,reward_forward_velocity,reward_racing_line_factor,reward_steering_rate_penalty,reward_terminal_penalty,lookahead_curvature_0m,lookahead_curvature_25m,lookahead_curvature_50m,lookahead_curvature_75m,lookahead_curvature_100m,lookahead_curvature_125m,lookahead_curvature_150m,lookahead_curvature_175m,lookahead_curvature_200m,lookahead_curvature_225m,lookahead_curvature_250m,lookahead_curvature_275m,physical_failure,termination_reason
1,1,11,0.0,2743.1,0.0,1.74846e-07,-9.53674e-07,0.21989677943537597,-0.21989773310937596,7.0710601806640625,1.0,2.0,1.0,1.0,0.0,1,0.0,0.0,0.7801020920446087,-0.0,0.0,-0.00014655786799266934,-0.0005046135047450662,-0.0010724362218752503,-0.005408713594079018,-0.011371659114956856,-0.06504938006401062,-0.09343153983354568,-0.09120310842990875,-0.019540898501873016,-0.003967877011746168,0.00925916526466608,0.011354894377291203,False,
1,1,12,0.0,2743.1,0.0,1.74846e-07,-9.53674e-07,0.21989677943537597,-0.21989773310937596,7.0710601806640625,-1.0,-2.0,1.0,1.0,0.0,1,0.0,0.0,0.7801020920446087,-0.0,0.0,-0.00014655786799266934,-0.0005046135047450662,-0.0010724362218752503,-0.005408713594079018,-0.011371659114956856,-0.06504938006401062,-0.09343153983354568,-0.09120310842990875,-0.019540898501873016,-0.003967877011746168,0.00925916526466608,0.011354894377291203,False,
1,1,13,0.0,2743.1,0.0,1.74846e-07,-9.53674e-07,0.21989677943537597,-0.21989773310937596,7.0710601806640625,1.0,2.0,1.0,1.0,0.0,1,0.0,0.0,0.7801020920446087,-0.0,0.0,-0.00014655786799266934,-0.0005046135047450662,-0.0010724362218752503,-0.005408713594079018,-0.011371659114956856,-0.06504938006401062,-0.09343153983354568,-0.09120310842990875,-0.019540898501873016,-0.003967877011746168,0.00925916526466608,0.011354894377291203,False,
1,1,14,0.0,2743.1,0.0,1.74846e-07,-9.53674e-07,0.21989677943537597,-0.21989773310937596,7.0710601806640625,-1.0,-2.0,1.0,1.0,0.0,1,0.0,0.0,0.7801020920446087,-0.0,0.0,-0.00014655786799266934,-0.0005046135047450662,-0.0010724362218752503,-0.005408713594079018,-0.011371659114956856,-0.06504938006401062,-0.09343153983354568,-0.09120310842990875,-0.019540898501873016,-0.003967877011746168,0.00925916526466608,0.011354894377291203,False,
1,1,15,0.0,2743.1,0.0,1.74846e-07,-9.53674e-07,0.21989677943537597,-0.21989773310937596,7.0710601806640625,1.0,2.0,1.0,1.0,0.0,1,0.0,0.0,0.7801020920446087,-0.0,0.0,-0.00014655786799266934,-0.0005046135047450662,-0.0010724362218752503,-0.005408713594079018,-0.011371659114956856,-0.06504938006401062,-0.09343153983354568,-0.09120310842990875,-0.019540898501873016,-0.003967877011746168,0.00925916526466608,0.011354894377291203,False,
1,1,16,0.0,2743.1,0.0,1.74846e-07,-9.53674e-07,0.21989677943537597,-0.21989773310937596,7.0710601806640625,-1.0,-2.0,1.0,1.0,0.0,2,0.0,0.0,0.7801020920446087,-0.0,0.0,-0.00014655786799266934,-0.0005046135047450662,-0.0010724362218752503,-0.005408713594079018,-0.011371659114956856,-0.06504938006401062,-0.09343153983354568,-0.09120310842990875,-0.019540898501873016,-0.003967877011746168,0.00925916526466608,0.011354894377291203,False,
1,1,17,0.0,2743.1,0.0,1.74846e-07,-9.53674e-07,0.21989677943537597,-0.21989773310937596,7.0710601806640625,1.0,2.0,1.0,1.0,0.0,2,0.0,0.0,0.7801020920446087,-0.0,0.0,-0.00014655786799266934,-0.0005046135047450662,-0.0010724362218752503,-0.005408713594079018,-0.011371659114956856,-0.06504938006401062,-0.09343153983354568,-0.09120310842990875,-0.019540898501873016,-0.003967877011746168,0.00925916526466608,0.011354894377291203,False,
1,1,18,0.0,2743.1,0.0,1.74846e-07,-9.53674e-07,0.21989677943537597,-0.21989773310937596,7.0710601806640625,-1.0,-2.0,1.0,1.0,0.0,2,0.0,0.0,0.7801020920446087,-0.0,0.0,-0.00014655786799266934,-0.0005046135047450662,-0.0010724362218752503,-0.005408713594079018,-0.011371659114956856,-0.06504938006401062,-0.09343153983354568,-0.09120310842990875,-0.019540898501873016,-0.003967877011746168,0.00925916526466608,0.011354894377291203,False,
1,1,19,0.0,2743.1,0.0,1.74846e-07,-9.53674e-07,0.21989677943537597,-0.21989773310937596,7.0710601806640625,1.0,2.0,1.0,1.0,0.0,2,0.0,0.0,0.7801020920446087,-0.0,0.0,-0.00014655786799266934,-0.0005046135047450662,-0.0010724362218752503,-0.005408713594079018,-0.011371659114956856,-0.06504938006401062,-0.09343153983354568,-0.09120310842990875,-0.019540898501873016,-0.003967877011746168,0.00925916526466608,0.011354894377291203,False,
1,1,20,0.0,2743.1,0.0,1.74846e-07,-9.53674e-07,0.21989677943537597,-0.21989773310937596,7.0710601806640625,-0.9999927282333374,-1.9999927282333374,1.0,1.0,0.0,2,0.0,0.0,0.7801020920446087,-0.0,0.0,-0.00014655786799266934,-0.0005046135047450662,-0.0010724362218752503,-0.005408713594079018,-0.011371659114956856,-0.06504938006401062,-0.09343153983354568,-0.09120310842990875,-0.019540898501873016,-0.003967877011746168,0.00925916526466608,0.011354894377291203,False,
1,1,21,0.0,2743.1,0.0,1.74846e-07,-9.53674e-07,0.21989677943537597,-0.21989773310937596,7.0710601806640625,1.0,1.9999927282333374,1.0,1.0,0.0,2,0.0,0.0,0.7801020920446087,-0.0,0.0,-0.00014655786799266934,-0.0005046135047450662,-0.0010724362218752503,-0.005408713594079018,-0.011371659114956856,-0.06504938006401062,-0.09343153983354568,-0.09120310842990875,-0.019540898501873016,-0.003967877011746168,0.00925916526466608,0.011354894377291203,False,
