repeat,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
1,1,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
2,2,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
3,3,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
4,4,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
5,5,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
6,6,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
7,7,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
8,8,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
9,9,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
10,10,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
11,11,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
12,12,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
13,13,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
14,14,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
15,15,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
16,16,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
17,17,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
18,18,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
19,19,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
20,20,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
