repeat,episode,step,distance_m,distance_from_start_m,speed_kmh,heading_angle_rad,track_position,target_track_position,racing_line_error,minimum_track_sensor_m,raw_steer,raw_longitudinal,control_accel,control_brake,control_gear,reward,reward_forward_velocity,reward_racing_line_factor,reward_terminal_penalty,lookahead_curvature_0m,lookahead_curvature_25m,lookahead_curvature_50m,lookahead_curvature_75m,lookahead_curvature_100m,lookahead_curvature_125m,lookahead_curvature_150m,lookahead_curvature_175m,lookahead_curvature_200m,lookahead_curvature_225m,lookahead_curvature_250m,lookahead_curvature_275m,physical_failure,termination_reason
1,1,541,368.775,268.775,202.746,0.369169,-0.723116,0.412721704428494,-1.135837704428494,1.5091300010681152,1.0,1.0,1.0,0.0,6,0.3504108975558811,0.810984,0.432081147785753,0.0,0.2696329653263092,0.15313592553138733,0.08231091499328613,0.1033346876502037,0.11378465592861176,0.11723130196332932,0.05438273400068283,-0.0485784150660038,-0.16798925399780273,-0.08840417861938477,-0.025918416678905487,-0.002281476743519306,False,
1,1,542,369.716,269.716,202.625,0.376717,-0.813953,0.4163058898293608,-1.230258889829361,1.0117599964141846,1.0,1.0,1.0,0.0,6,0.31193758489665147,0.8105,0.38487055508531953,0.0,0.2647692561149597,0.14985224604606628,0.08036278188228607,0.10470815002918243,0.11391045898199081,0.11733728647232056,0.04951295629143715,-0.053295377641916275,-0.16911755502223969,-0.0853852853178978,-0.02360358275473118,-0.002232566010206938,False,
1,1,543,370.643,270.643,202.52,0.386868,-0.906483,0.41983675047399766,-1.3263197504739976,0.5068740248680115,1.0,1.0,1.0,0.0,6,0.272867448268012,0.81008,0.3368401247630012,0.0,0.25997796654701233,0.14659351110458374,0.07844365388154984,0.10597348213195801,0.11403439193964005,0.11742017418146133,0.04508738964796066,-0.05794212594628334,-0.17022904753684998,-0.08241133391857147,-0.021110832691192627,-0.002184381941333413,False,
1,1,544,371.557,271.556,202.437,0.399027,-1.00074,0.42330010807150575,-1.4240401080715057,-1.0,1.0,1.0,1.0,0.0,6,-10.0,0.0,0.0,-10.0,0.2551356852054596,0.1433839201927185,0.07672905176877975,0.10721969604492188,0.11415644735097885,0.11738203465938568,0.040728695690631866,-0.06252475082874298,-0.17045080661773682,-0.0797613263130188,-0.018655668944120407,-0.0021818431559950113,True,off_track
2,2,483,300.883,200.883,203.631,-0.122638,-0.126151,-0.04432586635167056,-0.08182513364832945,7.101059913635254,0.9493191838264465,1.0,1.0,0.0,6,0.7811997324201141,0.814524,0.9590874331758352,0.0,0.058910563588142395,0.15916983783245087,0.28497305512428284,0.2314700186252594,0.12880410254001617,0.07269760221242905,0.10858302563428879,0.11454957723617554,0.11666904389858246,0.022117337211966515,-0.08687341958284378,-0.15997590124607086,False,
2,2,484,302.008,202.008,203.986,-0.127923,-0.100387,-0.028925933850826785,-0.07146106614917322,6.950940132141113,0.9967652559280396,1.0,1.0,0.0,6,0.7867898859209895,0.815944,0.9642694669254134,0.0,0.06312542408704758,0.16447247564792633,0.28526899218559265,0.22526302933692932,0.125263974070549,0.07336176931858063,0.10883043706417084,0.11464358121156693,0.1162378340959549,0.01781398616731167,-0.09355182945728302,-0.15485094487667084,False,
2,2,485,303.133,203.133,204.209,-0.139639,-0.0726792,-0.013517425022781622,-0.059161774977218376,6.715640068054199,0.8740629553794861,1.0,1.0,0.0,6,0.7926732661873545,0.816836,0.9704191125113908,0.0,0.06734129041433334,0.17007461190223694,0.28556492924690247,0.2190762162208557,0.12172383815050125,0.07574938982725143,0.10907784104347229,0.11474690586328506,0.11565162986516953,0.013510636053979397,-0.1003737598657608,-0.14987389743328094,False,
2,2,486,304.259,204.258,204.359,-0.155708,-0.0427297,0.0023113238381317226,-0.04504102383813172,6.450860023498535,-0.30729636549949646,1.0,1.0,0.0,6,0.7990269228189265,0.817436,0.9774794880809341,0.0,0.07160679250955582,0.17567676305770874,0.2860144078731537,0.2128894031047821,0.11839339137077332,0.07813700288534164,0.10939695686101913,0.1148589551448822,0.11506541818380356,0.009390877559781075,-0.10742802172899246,-0.1449597030878067,False,
2,2,487,305.383,205.383,204.48,-0.17362,-0.0103034,0.018140072699045072,-0.028443472699045073,6.17071008682251,-0.016232378780841827,1.0,1.0,0.0,6,0.8062877574049986,0.81792,0.9857782636504775,0.0,0.07587229460477829,0.18149536848068237,0.2865046262741089,0.20665833353996277,0.11509726196527481,0.08037982881069183,0.10976994782686234,0.11497100442647934,0.11414223164319992,0.00533268041908741,-0.11448228359222412,-0.14004549384117126,False,
2,2,488,306.506,206.506,204.654,-0.191173,0.0247298,0.03390353796827552,-0.00917373796827552,5.885169982910156,0.522452175617218,1.0,1.0,0.0,6,0.8148611156596811,0.818616,0.9954131310158623,0.0,0.08014446496963501,0.18746550381183624,0.2869712710380554,0.20036739110946655,0.11188055574893951,0.08253196626901627,0.11014227569103241,0.11511662602424622,0.11313822120428085,0.0012816834496334195,-0.12178831547498703,-0.13523288071155548,False,
2,2,489,307.628,207.628,204.837,-0.20711,0.0624547,0.049593740465744135,0.012860959534255867,5.597959995269775,0.8076761364936829,1.0,1.0,0.0,6,0.8140791992637632,0.819348,0.993569520232872,0.0,0.0844355970621109,0.1934303492307663,0.287321537733078,0.19408191740512848,0.10882381349802017,0.08468223363161087,0.11055724322795868,0.11526775360107422,0.11177922040224075,-0.0027664750814437866,-0.12923437356948853,-0.13042791187763214,False,
2,2,490,308.75,208.75,205.035,-0.219847,0.102743,0.06528394296321315,0.037459057036786855,5.313650131225586,0.624162495136261,1.0,1.0,0.0,6,0.8047791644809248,0.82014,0.9812704714816066,0.0,0.08872666209936142,0.1997193843126297,0.2876717746257782,0.18933822214603424,0.10576707124710083,0.08672258257865906,0.11097649484872818,0.11542769521474838,0.10822456330060959,-0.006814633496105671,-0.13668043911457062,-0.1256716251373291,False,
2,2,491,309.87,209.87,205.143,-0.230533,0.145467,0.08047925495291793,0.06498774504708209,5.026830196380615,0.6069333553314209,1.0,1.0,0.0,6,0.7939084380356128,0.820572,0.9675061274764589,0.0,0.09303382784128189,0.20601725578308105,0.28840139508247375,0.18510805070400238,0.10287277400493622,0.0887548178434372,0.11138768494129181,0.11562459170818329,0.10467629134654999,-0.010953492484986782,-0.1416858583688736,-0.12109637260437012,False,
2,2,492,310.988,210.988,205.206,-0.243186,0.190294,0.09548729842384152,0.09480670157615848,4.726449966430664,0.6412718296051025,1.0,1.0,0.0,6,0.7819141919927256,0.820824,0.9525966492119208,0.0,0.09734150767326355,0.21238493919372559,0.2894657850265503,0.18089847266674042,0.10002990812063217,0.09075029194355011,0.11177518963813782,0.11582113802433014,0.0995381698012352,-0.015220021829009056,-0.14640946686267853,-0.11652921885251999,False,
2,2,493,312.105,212.105,205.339,-0.257922,0.237426,0.1103747430644615,0.12705125693553848,4.412630081176758,0.4258090555667877,1.0,1.0,0.0,6,0.769178843904227,0.821356,0.9364743715322308,0.0,0.1016496866941452,0.21893121302127838,0.29052916169166565,0.17679300904273987,0.09722694009542465,0.09266280382871628,0.11216233670711517,0.11603294312953949,0.09260039031505585,-0.01948259025812149,-0.15095818042755127,-0.11211323738098145,False,
2,2,494,313.22,213.22,205.47,-0.273485,0.287129,0.12421195703678699,0.16291704296321302,4.0884599685668945,0.43583595752716064,1.0,1.0,0.0,6,0.7549308703646972,0.8218799999999999,0.9185414785183935,0.0,0.10599268227815628,0.22546586394309998,0.28850775957107544,0.17269474267959595,0.09456309676170349,0.09457198530435562,0.11250574141740799,0.11625877767801285,0.08567474037408829,-0.024043133482336998,-0.1544925719499588,-0.10787239670753479,False,
2,2,495,314.333,214.333,205.595,-0.289114,0.339634,0.1380243508943638,0.2016096491056362,3.7548201084136963,0.4883706271648407,1.0,1.0,0.0,6,0.7394801283842534,0.82238,0.8991951754471819,0.0,0.1103278249502182,0.23207473754882812,0.2861020565032959,0.16868934035301208,0.09190406650304794,0.0964258685708046,0.1128152385354042,0.11648420989513397,0.07911001890897751,-0.028700873255729675,-0.15802058577537537,-0.10363922268152237,False,
2,2,496,315.443,215.443,205.72,-0.304048,0.395114,0.1511388968275398,0.2439751031724602,3.4121499061584473,0.4562839865684509,1.0,1.0,0.0,6,0.7224988835507229,0.82288,0.8780124484137699,0.0,0.11469009518623352,0.2387104630470276,0.28326788544654846,0.16479183733463287,0.08941662311553955,0.09824146330356598,0.11312390118837357,0.11669699102640152,0.07265637814998627,-0.0333658792078495,-0.1611592173576355,-0.09968217462301254,False,
2,2,497,316.55,216.549,205.866,-0.317467,0.453647,0.1633444634829566,0.2903025365170434,3.0607900619506836,0.1510547548532486,1.0,1.0,0.0,6,0.7039371560347648,0.8234640000000001,0.8548487317414784,0.0,0.11908722668886185,0.24532228708267212,0.2790238559246063,0.1609082669019699,0.08702567219734192,0.10005057603120804,0.11335498839616776,0.11690658330917358,0.06627373397350311,-0.03836450353264809,-0.16366390883922577,-0.09585096687078476,False,
2,2,498,317.654,217.653,206.133,-0.32711,0.51505,0.17552795858926762,0.3395220414107324,2.7175400257110596,0.15283019840717316,1.0,1.0,0.0,6,0.6845586060757631,0.824532,0.8302389792946339,0.0,0.12347641587257385,0.2518460750579834,0.2747875452041626,0.15705108642578125,0.08463907986879349,0.1016877144575119,0.11357453465461731,0.1171049252152443,0.06037624552845955,-0.04335403069853783,-0.16616405546665192,-0.0920267403125763,False,
2,2,499,318.82,218.82,206.498,-0.308795,0.577145,0.18703137774241604,0.39011362225758395,2.3989200592041016,-0.04905183985829353,1.0,1.0,0.0,6,0.6648766344621068,0.825992,0.804943188871208,0.0,0.1282576620578766,0.25874173641204834,0.26940032839775085,0.15297885239124298,0.08221772313117981,0.10340075939893723,0.11379067599773407,0.11723636835813522,0.05414227396249771,-0.04880405217409134,-0.16804322600364685,-0.08825977146625519,False,
2,2,500,320.024,220.024,206.868,-0.27817,0.63495,0.1984676656622428,0.4364823343377572,2.105259895324707,0.6549621224403381,1.0,1.0,0.0,6,0.6468835449204337,0.827472,0.7817588328311214,0.0,0.133234903216362,0.2655334174633026,0.26317742466926575,0.14876964688301086,0.07972518354654312,0.10512854158878326,0.11395163089036942,0.11737197637557983,0.048042621463537216,-0.05483919382095337,-0.16948683559894562,-0.08439723402261734,False,
2,2,501,321.245,221.244,207.169,-0.249922,0.688011,0.2094854620801734,0.47852553791982666,1.8282899856567383,0.8924559950828552,1.0,1.0,0.0,6,0.6304046856693749,0.8286760000000001,0.7607372310400866,0.0,0.1383599042892456,0.27197957038879395,0.2568309009075165,0.14448067545890808,0.07731068134307861,0.1067938506603241,0.11411473900079727,0.1173950657248497,0.04221811145544052,-0.060954801738262177,-0.17080765962600708,-0.08065740764141083,False,
2,2,502,322.481,222.481,207.432,-0.225382,0.73626,0.21930239057421447,0.5169576094257855,1.5681500434875488,0.7971729040145874,1.0,1.0,0.0,6,0.6152608983231809,0.8297279999999999,0.7415211952871072,0.0,0.14374999701976776,0.27845528721809387,0.25010940432548523,0.14013206958770752,0.07500454038381577,0.10848232358694077,0.11424378305673599,0.11734338849782944,0.03633924201130867,-0.06761251389980316,-0.16939274966716766,-0.07710445672273636,False,
2,2,503,323.733,223.732,207.603,-0.204111,0.779714,0.2292304241603466,0.5504835758396533,1.3269599676132202,0.9736840128898621,1.0,1.0,0.0,6,0.601847916409921,0.830412,0.7247582120801733,0.0,0.14920106530189514,0.281181663274765,0.24331197142601013,0.13592271506786346,0.07273929566144943,0.10862842202186584,0.11436127126216888,0.11723842471837997,0.03104015253484249,-0.07449311017990112,-0.16796183586120605,-0.07351773232221603,False,
2,2,504,324.997,224.997,207.75,-0.184631,0.818372,0.23765794498425707,0.5807140550157429,1.107699990272522,0.9578925371170044,1.0,1.0,0.0,6,0.5897133101409587,0.831,0.7096429724921285,0.0,0.15505164861679077,0.28393858671188354,0.2363584339618683,0.13168194890022278,0.07271477580070496,0.10855992883443832,0.1144755482673645,0.11690356582403183,0.025681598111987114,-0.08161388337612152,-0.16401202976703644,-0.0702122375369072,False,
2,2,505,326.273,226.273,207.95,-0.163173,0.851962,0.24601845146765067,0.6059435485323493,0.9159179925918579,0.9366748332977295,1.0,1.0,0.0,6,0.5797880781653959,0.8318,0.6970282257338254,0.0,0.16098259389400482,0.28507566452026367,0.22931812703609467,0.1275768131017685,0.07269003987312317,0.10866879671812057,0.11458216607570648,0.11656580120325089,0.02062545344233513,-0.08918868750333786,-0.15819917619228363,-0.06687802821397781,False,
2,2,506,327.56,227.56,208.158,-0.138504,0.880296,0.2535926768689057,0.6267033231310943,0.7537609934806824,0.8460720181465149,1.0,1.0,0.0,6,0.5717253793273552,0.8326319999999999,0.6866483384344528,0.0,0.16722126305103302,0.2854142189025879,0.22222734987735748,0.12352693825960159,0.07453329861164093,0.10895182937383652,0.11468983441591263,0.11595020443201065,0.015702469274401665,-0.09682871401309967,-0.15237686038017273,-0.06366495788097382,False,
2,2,507,328.856,228.856,208.181,-0.113689,0.903143,0.26064660969664133,0.6424963903033587,0.6214200258255005,0.9911064505577087,1.0,1.0,0.0,6,0.565212917940513,0.832724,0.6787518048483207,0.0,0.17367497086524963,0.2858392596244812,0.21510003507137299,0.11957114189863205,0.07728388160467148,0.10926368087530136,0.11481891572475433,0.11527487635612488,0.010840925388038158,-0.10490743815898895,-0.14671561121940613,-0.06050150841474533,False,
2,2,508,330.158,230.158,208.111,-0.0932387,0.920416,0.2673923926733477,0.6530236073266523,0.5189059972763062,0.9994802474975586,1.0,1.0,0.0,6,0.5606412081112861,0.832444,0.6734881963366739,0.0,0.18029926717281342,0.28640657663345337,0.20791864395141602,0.11575641483068466,0.07994867116212845,0.10969536006450653,0.11494859308004379,0.11434336751699448,0.006144231650978327,-0.11307158321142197,-0.14102822542190552,-0.05737399309873581,False,
2,2,509,331.465,231.465,208.168,-0.0759737,0.932014,0.2734410732665222,0.6585729267334778,0.44963499903678894,0.9999014735221863,1.0,1.0,0.0,6,0.5584843819754908,0.8326720000000001,0.670713536633261,0.0,0.18724752962589264,0.2869584858417511,0.20059698820114136,0.11199221014976501,0.0824534222483635,0.11012868583202362,0.1151111051440239,0.11317486315965652,0.0014295558212324977,-0.12151632457971573,-0.1354084014892578,-0.054319560527801514,False,
2,2,510,332.775,232.775,208.247,-0.0591445,0.938151,0.27945895297423573,0.6586920470257642,0.41506800055503845,0.9997897744178772,1.0,1.0,0.0,6,0.5586467145660514,0.8329880000000001,0.6706539764871179,0.0,0.19423681497573853,0.28736740350723267,0.1932584047317505,0.10842332243919373,0.0849534273147583,0.1106121763586998,0.11528754979372025,0.11131349951028824,-0.0032968558371067047,-0.13020993769168854,-0.12979838252067566,-0.05126523599028587,False,
2,2,511,334.088,234.087,208.248,-0.041233,0.938957,0.2848123145207705,0.6541446854792295,0.4164330065250397,0.9999815821647644,1.0,1.0,0.0,6,0.5605433550766429,0.832992,0.6729276572603853,0.0,0.2016144096851349,0.28777697682380676,0.18806536495685577,0.10486374795436859,0.08733408153057098,0.11110242456197739,0.11548693478107452,0.1071568951010704,-0.008030534721910954,-0.13837774097919464,-0.1242949366569519,-0.048276472836732864,False,
2,2,512,335.399,235.399,208.255,-0.0228411,0.934213,0.2901656760673054,0.6440473239326945,0.4568859934806824,0.9999968409538269,1.0,1.0,0.0,6,0.5647678491087934,0.83302,0.6779763380336528,0.0,0.2089919149875641,0.2889050245285034,0.1831100732088089,0.10152766108512878,0.08971467614173889,0.11157103627920151,0.11571758985519409,0.10300038754940033,-0.012972217984497547,-0.14392085373401642,-0.11893540620803833,-0.04528777673840523,False,
2,2,513,336.709,236.709,208.145,-0.00475498,0.924187,0.29516084405471293,0.629026155945287,0.5364109873771667,0.9999992251396179,1.0,1.0,0.0,6,0.5707227015415365,0.83258,0.6854869220273565,0.0,0.21661041676998138,0.2901521623134613,0.17824850976467133,0.0981966108083725,0.09198477119207382,0.11202508211135864,0.1159527376294136,0.09506001323461533,-0.017971400171518326,-0.14945559203624725,-0.1136193573474884,-0.04232636094093323,False,
2,2,514,338.014,238.014,207.927,0.0100682,0.908965,0.30005547772210195,0.6089095222778981,0.6547600030899048,1.0,1.0,1.0,0.0,6,0.5784905395226471,0.831708,0.695545238861051,0.0,0.22425860166549683,0.2889529764652252,0.17345187067985535,0.0950552299618721,0.09421927481889725,0.11244846135377884,0.11621705442667007,0.08695421367883682,-0.023181086406111717,-0.1538396179676056,-0.10865586996078491,-0.03938111662864685,False,
2,2,515,339.313,239.313,207.844,0.0238374,0.888607,0.30480654333694474,0.5838004566630552,0.8143290281295776,1.0,1.0,1.0,0.0,6,0.5886971557706479,0.831376,0.7080997716684724,0.0,0.23195524513721466,0.28614532947540283,0.16875962913036346,0.0919518917798996,0.09639312326908112,0.1128096729516983,0.11648014932870865,0.07922641932964325,-0.028617095202207565,-0.15795713663101196,-0.10371536761522293,-0.03642581030726433,False,
2,2,516,340.606,240.606,207.71,0.0384243,0.863519,0.3094364079089924,0.5540825920910076,1.0160900354385376,1.0,1.0,1.0,0.0,6,0.6006630095935537,0.83084,0.7229587039544962,0.0,0.23968495428562164,0.28264233469963074,0.16421940922737122,0.08906420320272446,0.09850812703371048,0.11316745728254318,0.11672788113355637,0.07170852273702621,-0.0341026671230793,-0.16152840852737427,-0.0991174578666687,-0.03346337378025055,False,
2,2,517,341.89,241.889,207.424,0.050855,0.834114,0.31400991464942274,0.5201040853505773,1.256019949913025,1.0,1.0,1.0,0.0,6,0.6139318604004838,0.829696,0.7399479573247114,0.0,0.24733173847198486,0.2777191996574402,0.1597171127796173,0.08629068732261658,0.10056621581315994,0.11342259496450424,0.11697101593017578,0.06445750594139099,-0.03990111127495766,-0.16443388164043427,-0.09467323869466782,-0.03048601932823658,False,
2,2,518,343.164,243.164,207.275,0.0641293,0.800976,0.3184970409655685,0.4824789590344315,1.535770058631897,1.0,1.0,1.0,0.0,6,0.6290883475322765,0.8291000000000001,0.7587605204827843,0.0,0.25486549735069275,0.27279096841812134,0.15526799857616425,0.08357582986354828,0.10243780165910721,0.11367614567279816,0.11716248095035553,0.057646602392196655,-0.04566342383623123,-0.1672566682100296,-0.09036432951688766,-0.027398232370615005,False,
2,2,519,344.429,244.428,207.018,0.0791047,0.764382,0.32294545481937903,0.441436545180621,1.8592400550842285,1.0,1.0,1.0,0.0,6,0.6453013785795965,0.828072,0.7792817274096895,0.0,0.26233425736427307,0.2662579417228699,0.15085731446743011,0.08095907419919968,0.10429321229457855,0.11387195438146591,0.11730484664440155,0.05089454725384712,-0.051851604133844376,-0.16877220571041107,-0.08630931377410889,-0.024337049573659897,False,
2,2,520,345.681,245.681,206.768,0.0953255,0.724478,0.3273616502573131,0.39711634974268684,2.2304699420928955,1.0,1.0,1.0,0.0,6,0.6628500931928083,0.827072,0.8014418251286566,0.0,0.26900479197502136,0.2597815692424774,0.14645995199680328,0.07836499810218811,0.1060253456234932,0.11403947323560715,0.11741858720779419,0.044906001538038254,-0.05813257768750191,-0.17027461528778076,-0.0822894424200058,-0.021008582785725594,False,
2,2,521,346.922,246.922,206.539,0.112675,0.681419,0.3317359903846153,0.3496830096153847,2.655319929122925,1.0,1.0,1.0,0.0,6,0.6817096417540961,0.826156,0.8251584951923077,0.0,0.2755618989467621,0.2531469762325287,0.14209727942943573,0.07604672014713287,0.10771927237510681,0.11419128626585007,0.1173667386174202,0.038981400430202484,-0.06453780084848404,-0.17003217339515686,-0.07871009409427643,-0.01767156831920147,False,
2,2,522,348.15,248.15,206.348,0.131256,0.635307,0.33609177681473457,0.2992152231852654,3.1429998874664307,1.0,1.0,1.0,0.0,6,0.7019070742523337,0.825392,0.8503923884073673,0.0,0.2799132764339447,0.24647440016269684,0.1378737837076187,0.0737573653459549,0.10865993797779083,0.11430661380290985,0.11731544137001038,0.03350548818707466,-0.07129200547933578,-0.1686275452375412,-0.07518300414085388,-0.015134347602725029,False,
2,2,523,349.366,249.366,206.183,0.151024,0.586233,0.3404261646803901,0.2458068353196099,3.705820083618164,1.0,1.0,1.0,0.0,6,0.7233696185465938,0.824732,0.877096582340195,0.0,0.28256338834762573,0.2398400455713272,0.1337973177433014,0.0727270096540451,0.10859409719705582,0.1144208163022995,0.11707060039043427,0.028354542329907417,-0.07798024266958237,-0.1668866127729416,-0.07186108082532883,-0.013451111502945423,False,
2,2,524,350.568,250.568,206.027,0.171502,0.534283,0.344718960422521,0.18956403957747897,4.357759952545166,1.0,1.0,1.0,0.0,6,0.7459973792359414,0.824108,0.9052179802112605,0.0,0.28489020466804504,0.2332080453634262,0.1297953575849533,0.07270370423793793,0.10852901637554169,0.1145232543349266,0.11675242334604263,0.02332228422164917,-0.08500345051288605,-0.16141089797019958,-0.0687202513217926,-0.011814725585281849,False,
2,2,525,351.756,251.756,205.872,0.191899,0.479504,0.3490181553306023,0.13048584466939767,5.114230155944824,1.0,1.0,1.0,0.0,6,0.7697612363724436,0.8234880000000001,0.9347570776653011,0.0,0.2852027118206024,0.2266533374786377,0.1260569989681244,0.07282691448926926,0.10877501219511032,0.11462251842021942,0.11636915057897568,0.018777990713715553,-0.0920557752251625,-0.15599898993968964,-0.06562747806310654,-0.011640232056379318,False,
2,2,526,352.93,252.93,205.716,0.211678,0.421938,0.3532666863256255,0.06867131367437446,5.996270179748535,1.0,1.0,1.0,0.0,6,0.7946104240723249,0.822864,0.9656643431628128,0.0,0.2855115532875061,0.22019261121749878,0.1223626434803009,0.07531855255365372,0.10903319716453552,0.11472668498754501,0.11575740575790405,0.014287162572145462,-0.09910083562135696,-0.15076065063476562,-0.06276184320449829,-0.011467792093753815,False,
2,2,527,354.09,254.09,205.555,0.230445,0.361648,0.35750419288326113,0.004143807116738896,7.033699989318848,1.0,1.0,1.0,0.0,6,0.8205164394562375,0.8222200000000001,0.9979280964416306,0.0,0.2859412133693695,0.21381328999996185,0.11888561397790909,0.07778045535087585,0.10934125632047653,0.11484222114086151,0.11515296250581741,0.009996898472309113,-0.106374591588974,-0.1456935554742813,-0.05993039160966873,-0.011102835647761822,False,
2,2,528,355.235,255.235,205.385,0.247873,0.298679,0.36171071881771405,-0.06303171881771408,7.374680042266846,1.0,1.0,1.0,0.0,6,0.7956484608612475,0.8215399999999999,0.968484140591143,0.0,0.2864401340484619,0.20748747885227203,0.11553091555833817,0.08009617030620575,0.109720878303051,0.11495625972747803,0.11427456140518188,0.005866596009582281,-0.11355419456958771,-0.14069202542304993,-0.057194121181964874,-0.010538408532738686,False,
2,2,529,356.366,256.366,205.207,0.263714,0.233077,0.36586799096018413,-0.13279099096018412,6.95704984664917,1.0,1.0,1.0,0.0,6,0.766328718236067,0.820828,0.933604504519908,0.0,0.28692758083343506,0.20115157961845398,0.11226191371679306,0.08226369321346283,0.11009586602449417,0.1150977686047554,0.11326337605714798,0.0017867120914161205,-0.12085932493209839,-0.13583235442638397,-0.05455092340707779,-0.009980901144444942,False,
2,2,530,357.482,257.481,205.021,0.277865,0.164924,0.3700201730430661,-0.20509617304306613,6.5362701416015625,1.0,1.0,1.0,0.0,6,0.7359859550130751,0.8200839999999999,0.897451913478467,0.0,0.28727564215660095,0.19490543007850647,0.10922429710626602,0.08440051227807999,0.11050231754779816,0.1152479499578476,0.11224494129419327,-0.0022360943257808685,-0.1282588094472885,-0.13105744123458862,-0.05194516479969025,-0.009206871502101421,False,
2,2,531,358.582,258.582,204.831,0.290382,0.09431,0.37412022010427953,-0.27981022010427953,6.111410140991211,1.0,1.0,1.0,0.0,6,0.7046963856116406,0.8193239999999999,0.8600948899478602,0.0,0.28761932253837585,0.18997275829315186,0.10622476041316986,0.08641774207353592,0.1109137237071991,0.11539815366268158,0.10875680297613144,-0.006208499893546104,-0.13556553423404694,-0.12635791301727295,-0.04942687228322029,-0.008409682661294937,False,
2,2,532,359.668,259.668,204.635,0.301434,0.0213341,0.37818041321054957,-0.35684631321054955,5.681429862976074,1.0,1.0,1.0,0.0,6,0.6724935093923183,0.8185399999999999,0.8215768433947253,0.0,0.28820911049842834,0.1858709752559662,0.10338640213012695,0.08838829398155212,0.11131767183542252,0.11558907479047775,0.10531623661518097,-0.010182640515267849,-0.14083243906497955,-0.12192153930664062,-0.04695296660065651,-0.007612936198711395,False,
2,2,533,360.739,260.738,204.432,0.31121,-0.053878,0.3822087166943156,-0.4360867166943156,5.24560022354126,1.0,1.0,1.0,0.0,6,0.6394278406654953,0.8177279999999999,0.7819566416528422,0.0,0.28922778367996216,0.18182961642742157,0.10066559910774231,0.09032223373651505,0.1116885393857956,0.11577718704938889,0.10109097510576248,-0.014265977777540684,-0.14535321295261383,-0.11755048483610153,-0.04451766237616539,-0.00677432119846344,False,
2,2,534,361.794,261.794,204.224,0.319923,-0.131216,0.38618431340352766,-0.5174003134035277,4.803279876708984,1.0,1.0,1.0,0.0,6,0.6055648767909559,0.816896,0.7412998432982362,0.0,0.2902331054210663,0.17793600261211395,0.09798041731119156,0.09213034808635712,0.11205454915761948,0.1159699559211731,0.09453191608190536,-0.018295858055353165,-0.14981481432914734,-0.11329598724842072,-0.04213448241353035,-0.00594675587490201,False,
2,2,535,362.835,262.835,204.012,0.327799,-0.210556,0.39012175203141913,-0.6006777520314192,4.354050159454346,1.0,1.0,1.0,0.0,6,0.5709570609051323,0.816048,0.6996611239842905,0.0,0.28933992981910706,0.17410984635353088,0.09548290818929672,0.0939127579331398,0.11239868402481079,0.11618079990148544,0.08806612342596054,-0.022431934252381325,-0.15327216684818268,-0.1093367338180542,-0.03978525847196579,-0.005176867358386517,False,
2,2,536,363.861,263.861,203.801,0.335145,-0.291785,0.3940154526002166,-0.6858004526002166,3.8975400924682617,1.0,1.0,1.0,0.0,6,0.5356703639192465,0.8152039999999999,0.6570997736998917,0.0,0.28712227940559387,0.1703467220067978,0.09303173422813416,0.09565379470586777,0.1126839891076088,0.11638860404491425,0.08185439556837082,-0.026725569739937782,-0.1565243899822235,-0.10543446987867355,-0.03746143728494644,-0.004503211472183466,False,
2,2,537,364.872,264.872,203.591,0.342245,-0.374805,0.3978522277221019,-0.7726572277221019,3.4335498809814453,1.0,1.0,1.0,0.0,6,0.4997518847016592,0.8143640000000001,0.6136713861389491,0.0,0.2849370539188385,0.1667967289686203,0.09065096080303192,0.09730751067399979,0.11296512186527252,0.1165887862443924,0.0759761705994606,-0.03095650114119053,-0.15972912311553955,-0.10166003555059433,-0.035145048052072525,-0.0038393735885620117,False,
2,2,538,365.869,265.869,203.379,0.349225,-0.45954,0.4016471580052139,-0.861187158005214,2.962239980697632,1.0,1.0,1.0,0.0,6,0.4632212339841152,0.813516,0.569406420997393,0.0,0.28163325786590576,0.16329604387283325,0.08849572390317917,0.09893826395273209,0.11321975290775299,0.11677771806716919,0.07017956674098969,-0.0352911539375782,-0.1621239334344864,-0.0982065424323082,-0.03286081925034523,-0.003295712172985077,False,
2,2,539,366.852,266.852,203.167,0.355998,-0.545882,0.40539385333649314,-0.9512758533364931,2.4842300415039062,1.0,1.0,1.0,0.0,6,0.4261322774103694,0.8126680000000001,0.5243620733317534,0.0,0.27786123752593994,0.15984629094600677,0.08637070655822754,0.10051187872886658,0.11341523379087448,0.11696399748325348,0.06465525180101395,-0.03973381221294403,-0.16435004770755768,-0.09480146318674088,-0.030575746670365334,-0.0029143246356397867,False,
2,2,540,367.82,267.82,202.956,0.362622,-0.633769,0.40908337630768193,-1.042852376307682,1.9997400045394897,1.0,1.0,1.0,0.0,6,0.38851770622819615,0.811824,0.478573811846159,0.0,0.27414676547050476,0.15646836161613464,0.08428798615932465,0.10193284600973129,0.1136077418923378,0.11712373793125153,0.05948418751358986,-0.04410874843597412,-0.16654223203659058,-0.09146790951490402,-0.028231339529156685,-0.0025387390051037073,False,
